,1/CM,TRANSMITTANCE
84,529.1169418,1.06
85,530.056203,1.06
86,530.9954642,1.059
87,531.9347254,1.059
88,532.8739866,1.057
89,533.8132478,1.057
90,534.752509,1.056
91,535.6917702000001,1.054
92,536.6310314,1.053
93,537.5702926,1.053
94,538.5095537999999,1.052
95,539.448815,1.05
96,540.3880762,1.05
97,541.3273374,1.049
98,542.2665986,1.047
99,543.2058598,1.047
100,544.145121,1.046
101,545.0843822,1.046
102,546.0236434,1.046
103,546.9629046,1.046
104,547.9021657999999,1.044
105,548.841427,1.044
106,549.7806882,1.044
107,550.7199494,1.044
108,551.6592105999999,1.044
109,552.5984718,1.044
110,553.537733,1.044
111,554.4769942,1.044
112,555.4162554000001,1.046
113,556.3555166,1.046
114,557.2947778,1.046
115,558.234039,1.046
116,559.1733002000001,1.047
117,560.1125614,1.047
118,561.0518226,1.049
119,561.9910838,1.049
120,562.930345,1.05
121,563.8696064,1.05
122,564.8088678,1.052
123,565.7481292,1.052
124,566.6873906000001,1.054
125,567.626652,1.054
126,568.5659132000001,1.056
127,569.5051744,1.056
128,570.4444356,1.057
129,571.3836967999999,1.057
130,572.322958,1.059
131,573.2622192,1.06
132,574.2014804,1.06
133,575.1407416,1.062
134,576.0800028,1.063
135,577.019264,1.065
136,577.9585252,1.065
137,578.8977864,1.065
138,579.8370476,1.066
139,580.7763087999999,1.066
140,581.71557,1.068
141,582.6548312,1.069
142,583.5940924,1.069
143,584.5333535999999,1.069
144,585.4726148,1.069
145,586.411876,1.069
146,587.3511372,1.069
147,588.2903984000001,1.069
148,589.2296596,1.07
149,590.1689208,1.07
150,591.108182,1.07
151,592.0474432000001,1.07
152,592.9867044,1.07
153,593.9259656,1.072
154,594.8652268,1.072
155,595.804488,1.072
156,596.7437492,1.072
157,597.6830104000001,1.072
158,598.6222716,1.072
159,599.5615328,1.072
160,600.500794,1.072
161,601.4400552000001,1.072
162,602.3793164,1.072
163,603.3185776,1.072
164,604.2578388,1.072
165,605.1971,1.07
166,606.1363612,1.07
167,607.0756224,1.07
168,608.0148836,1.069
169,608.9541448,1.069
170,609.893406,1.069
171,610.8326672000001,1.068
172,611.7719284,1.068
173,612.7111896,1.068
174,613.6504507999999,1.066
175,614.589712,1.066
176,615.5289732,1.066
177,616.4682344,1.066
178,617.4074956,1.066
179,618.3467568,1.066
180,619.286018,1.065
181,620.2252792,1.065
182,621.1645404,1.065
183,622.1038016,1.065
184,623.0430627999999,1.065
185,623.982324,1.065
186,624.9215852,1.065
187,625.8608464,1.066
188,626.8001075999999,1.066
189,627.7393688,1.066
190,628.67863,1.068
191,629.6178912,1.068
192,630.5571524000001,1.068
193,631.4964136,1.07
194,632.4356748,1.07
195,633.374936,1.072
196,634.3141972000001,1.072
197,635.2534584,1.072
198,636.1927196,1.072
199,637.1319808,1.073
200,638.071242,1.075
201,639.0105032,1.076
202,639.9497644,1.078
203,640.8890256,1.079
204,641.8282868,1.081
205,642.767548,1.081
206,643.7068094,1.083
207,644.6460708,1.085
208,645.5853322,1.085
209,646.5245936,1.085
210,647.463855,1.083
211,648.4031162,1.083
212,649.3423774,1.082
213,650.2816386,1.082
214,651.2208998,1.082
215,652.160161,1.082
216,653.0994222,1.082
217,654.0386834,1.081
218,654.9779446,1.081
219,655.9172057999999,1.081
220,656.856467,1.081
221,657.7957282,1.081
222,658.7349894,1.081
223,659.6742505999999,1.081
224,660.6135118,1.079
225,661.552773,1.079
226,662.4920342,1.081
227,663.4312954000001,1.081
228,664.3705566,1.081
229,665.3098178,1.079
230,666.249079,1.081
231,667.1883402000001,1.083
232,668.1276014,1.102
233,669.0668626,1.092
234,670.0061238,1.089
235,670.945385,1.088
236,671.8846462,1.086
237,672.8239074,1.085
238,673.7631686,1.085
239,674.7024298,1.085
240,675.641691,1.083
241,676.5809522000001,1.082
242,677.5202134,1.081
243,678.4594746,1.079
244,679.3987357999999,1.078
245,680.337997,1.075
246,681.2772582,1.073
247,682.2165194,1.073
248,683.1557806,1.072
249,684.0950418,1.07
250,685.034303,1.069
251,685.9735642,1.069
252,686.9128254,1.068
253,687.8520866,1.066
254,688.7913477999999,1.065
255,689.730609,1.062
256,690.6698702,1.06
257,691.6091314,1.06
258,692.5483925999999,1.059
259,693.4876538,1.057
260,694.426915,1.057
